read_uid	y_sim	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NC_039553.1_3_540_8:0:0_6:0:0_ef2/F	0	-0.08898931284508135	-10.373264517049936	0.9691381205211815	-0.978497631089702	0.14164770766510293	0.05920983002300663	-7.845596558983324	0.1735026663961487	0.24812590575759935	-0.10250896531725384
NC_039553.1_4_430_13:0:0_11:0:0_243d/F	0	-0.09486293758920576	-10.364293678053302	1.4291134279918987	-0.9994563029248245	0.14585254720366633	0.06047832840050786	-7.609313116313075	0.1777847651534296	0.2587819967174898	-0.1290362091322943
NC_039553.1_5_495_6:0:0_11:0:0_1d49/F	0	-0.08270805342001773	-10.381770253684019	0.4952724673341289	-0.9525944379712782	0.14166212008316367	0.08876420344880881	-7.385925447406818	-0.7521236789146932	0.08716430750119125	-0.0868196418193139
NC_039553.1_6_523_6:0:0_9:0:0_82c/F	0	-0.08881095800550877	-10.372863857699619	0.9535804375563481	-0.9754926172621836	0.14653142350328927	0.04242937438924493	-7.268787932948768	0.48868853193807776	0.2337972474213802	-0.10520529249087751
NC_039553.1_9_574_7:0:0_7:0:0_181b/F	0	-0.09474575421687939	-10.363289663697058	1.4395866303437184	-0.9955243906042064	0.15073056659779105	0.0906930855717755	-6.845122000594804	-0.7405644805562468	0.1022651301253234	-0.13958360277123327
NC_039553.1_10_391_9:0:0_8:0:0_256b/F	0	-0.08864155875033206	-10.372017777437678	0.9715953768690838	-0.9727108841494171	0.14924932159024437	0.08594804863032045	-6.745541766848493	-0.730167241012204	0.0637639005023998	-0.11914718597279672
NC_039553.1_11_509_6:0:0_11:0:0_a19/F	0	-0.10064988651187048	-10.354348555333665	1.9006628244468575	-1.01672456562899	0.1545866017449014	0.09240764532049461	-6.651891968980737	-0.7381644871629462	0.11649185444559135	-0.16532923676702826
NC_039553.1_12_427_9:0:0_9:0:0_157/F	0	-0.10091654994688053	-10.35408838696066	1.906442231337579	-1.0183945840671917	0.15657168179198694	0.0432186672119269	-6.613781170349452	0.5052447994805533	0.2391883618343047	-0.15937608557685068
NC_039553.1_12_489_8:0:0_9:0:0_86f/F	0	-0.0948946112696723	-10.362869905490083	1.4418712215054337	-0.9961909614406662	0.15427945928285633	0.039517771014552956	-6.614714926735932	0.5112499038913969	0.20899565251209684	-0.13705321242385715
NC_039553.1_12_593_13:0:0_13:0:0_2375/F	0	-0.08349076099067639	-10.48096396955396	0.597269299604838	-1.6907853895720248	-35.8103044233612	-0.10872408444087706	-6.201236068749341	0.4469832233166234	1.3736313216722782	0.6920662501196599
NC_039553.1_14_515_7:0:0_7:0:0_20a4/F	0	-0.100558412621444	-10.35407667806641	1.900448090891511	-1.0157135325305555	0.15651724466801198	0.08999162154837598	-6.416513797156041	-0.7278742741133005	0.09686180183486481	-0.1692794338209146
NC_039553.1_15_525_9:0:0_9:0:0_1e76/F	0	-0.09454505404662933	-10.362645669534096	1.4402436448251756	-0.9948407898215414	0.15596648037461955	0.04793003728792544	-6.382308462702093	0.23143285755439819	0.15618986694132958	-0.1489064719312121
NC_039553.1_17_520_4:0:0_8:0:0_25c/F	0	71.23407670913286	-9.929114196480532	-24.781702334847267	0.49361698128116716	0.052302728959661204	1.595867798657983	-6.246734802036842	-0.5636086541296045	0.45047950434373485	-0.47712445238337253
NC_039553.1_18_522_8:0:0_9:0:0_c84/F	0	-0.0945424573009675	-10.362171729076683	1.4487642891125638	-0.9972995952785504	0.15981876773140166	-0.029255088643396536	-6.266912995971953	2.1400092537831066	0.33147239860626676	-0.1535735625761233
NC_039553.1_18_593_8:0:0_3:0:0_eca/F	0	-0.08831034468170794	-10.371258501227905	0.967994181123155	-0.9742301751941729	0.15746001868416468	-0.03301587880039314	-6.267952772046251	2.1460011336976685	0.3016384571329808	-0.13220684783929593
NC_039553.1_18_482_5:0:0_7:0:0_1e4b/F	0	-0.09448799867349311	-10.36225082464659	1.4445668977235782	-0.997075303738945	0.15980152290660488	-0.029270643824921866	-6.266940428880209	2.140005942713336	0.33156462712975987	-0.1538204148932596
NC_039553.1_19_516_6:0:0_8:0:0_c1a/F	0	-0.10054225776701356	-10.353329329184774	1.913200277780439	-1.0192662375822976	0.16255442901866063	-0.026109873555244176	-6.21187417197044	2.1363694601585763	0.3571546927388336	-0.17680949269307633
NC_039553.1_20_525_9:0:0_10:0:0_1b37/F	0	-0.08816754167477171	-10.371533398038729	0.9548688430917271	-0.9689205572315582	0.15477779025251592	0.07888719454553886	-6.063566273698687	-0.7003608831600645	0.007233633665879147	-0.13154120538951453
NC_039553.1_21_560_10:0:0_9:0:0_169b/F	0	-0.0943089263214029	-10.362411015254603	1.4317993935774862	-0.9929630683100782	0.1586883152296366	0.044451911460550664	-6.046447585561881	0.24611185799145968	0.12835413935212214	-0.15502248795976847
NC_039553.1_23_443_2:0:0_8:0:0_1909/F	0	-0.09439465055372274	-10.36221169649894	1.4393437842482417	-0.9915898024088541	0.1583076049514044	0.08121641727415224	-5.921648728922593	-0.7001919700277464	0.025236520960143144	-0.1550463169519931
NC_039553.1_25_571_7:0:0_8:0:0_1932/F	0	-0.09425764460925075	-10.362265503573441	1.431236034927411	-0.9907980105596459	0.15896714229700476	0.08032001627675564	-5.837269888125006	-0.6965071541061084	0.018371580563904838	-0.1569355663620794
NC_039553.1_28_536_8:0:0_5:0:0_1f82/F	0	-0.09424958389171878	-10.361996140702825	1.4356881127030399	-0.9919334046629492	0.16109553438887614	0.041476252511574545	-5.7550205047403065	0.258854495585445	0.1039607007639815	-0.1596685278844675
NC_039553.1_32_487_8:0:0_8:0:0_20f5/F	0	-0.08841818553313457	-10.37053886752811	0.9725355662130994	-0.9709463361009507	0.16119610787516642	-0.011961832910906363	-5.666006915890671	1.5105324559914106	0.1922366851484284	-0.13252008115321645
NC_039553.1_34_520_8:0:0_3:0:0_691/F	0	-0.10021107732457703	-10.35304433352642	1.899632726607278	-1.0118745411008727	0.16384808442694296	0.08081774329509755	-5.5227598876465045	-0.6888013300441428	0.022324574662494184	-0.1842787178788836
NC_039553.1_34_452_2:0:0_16:0:0_d95/F	0	-0.0940860562453637	-10.36197556867031	1.4271166545031233	-0.9892463666315225	0.1615232199280185	0.07708740336126493	-5.523745570609324	-0.6828024930153646	-0.0076935592402446185	-0.16242310089761236
NC_039553.1_35_574_7:0:0_8:0:0_2035/F	0	-0.09410704399152983	-10.36181098374947	1.431325477903263	-0.9907317242999012	0.16294923263080136	0.03911976142440515	-5.5269693660647565	0.26882229673705965	0.08503073047438708	-0.1637405492664219
NC_039553.1_36_542_8:0:0_9:0:0_1c3d/F	0	-0.09416635873530944	-10.361758145957303	1.4350082412808232	-0.9894191390325408	0.16203665349452825	0.07651518023075657	-5.465076982711807	-0.6802336348519287	-0.012756642955448178	-0.16293956960175504
NC_039553.1_38_482_5:0:0_6:0:0_1022/F	0	-0.09407423184962366	-10.361713460014197	1.4312484519031967	-0.990369061671877	0.1636417639013955	0.0382531216161514	-5.442538038835557	0.27251344761361546	0.07798933244391454	-0.16515750470239543
NC_039553.1_39_591_8:0:0_6:0:0_2233/F	0	-0.09423331438187134	-10.361519494525064	1.442557051349639	-0.9894732925596642	0.16274250070206092	0.07569932695061579	-5.382791101735467	-0.6766324424876977	-0.019782476842094193	-0.16387131879575978
NC_039553.1_41_525_6:0:0_11:0:0_45e/F	0	-0.08829296666267254	-10.370105660012728	0.9797488266514365	-0.9700849659509385	0.1632614294988357	-0.009212498171066029	-5.404877710358978	1.3769638808396973	0.15357243231533013	-0.1403981625887888
NC_039553.1_43_423_11:0:0_5:0:0_12c2/F	0	-0.09399085729772964	-10.361698766699599	1.4267893613668718	-0.9882037948510176	0.16350272233637328	0.0746092890591509	-5.282357663683759	-0.6722496015112981	-0.02782251692124063	-0.1664804643807971
NC_039553.1_44_580_4:0:0_8:0:0_977/F	0	-0.09398303418472258	-10.361669368112057	1.4268748117952486	-0.9881076951189035	0.16369759789941188	0.07436636737601211	-5.258651955608846	-0.6712131865163433	-0.02980181834042453	-0.16687199269102337
NC_039553.1_48_505_7:0:0_13:0:0_54b/F	0	-0.09405120759660361	-10.361415895542821	1.434737925748148	-0.9881464085078936	0.164467027123484	0.07347378899657284	-5.168773147970121	-0.6672798865783215	-0.03746776981844052	-0.16791224198670152
NC_039553.1_48_553_10:0:0_6:0:0_5d2/F	0	-0.09400063887109165	-10.361489341429165	1.4308403480298035	-0.9879381377925457	0.164451014071887	0.07345934489944217	-5.16879862138493	-0.6672829611431083	-0.03738212904662552	-0.16814146199547098
NC_039553.1_49_603_10:0:0_3:0:0_a2c/F	0	-0.09403875808943973	-10.361397333872276	1.434397255522283	-0.988037707618405	0.16464050163537763	0.0732538594420385	-5.147464856487111	-0.6663484968201172	-0.039237954033351674	-0.1682887720213686
NC_039553.1_49_630_10:0:0_10:0:0_19c9/F	0	-0.10021878180945235	-10.372114663646538	1.9179990506537585	-1.1540746648286853	-6.825278743034224	0.04957876822278222	-5.065752333794119	-0.6871830868765701	0.2290957871915913	-0.03792195024753198
NC_039553.1_51_572_3:0:0_4:0:0_1a7e/F	0	-0.08809837868933205	-10.370261568550957	0.9600882957548464	-0.9668575952180393	0.16391627935309233	0.02074846068658178	-5.153449837220971	0.581170679736869	0.057201627057973464	-0.1402084715227162
NC_039553.1_53_545_8:0:0_11:0:0_237d/F	0	-0.100033315653446	-10.35251599306616	1.8992154338096467	-1.0099097953979346	0.16759991252531356	0.07612267215270224	-5.065348303026704	-0.6688043072929449	-0.01582260526177587	-0.19195515567246269
